Date,Close,Open,High,Low,Vol.,Change %
13/07/00,"3,85","3,85","3,85","3,85",0,0
14/07/00,4,4,4,4,0,"3,9"
17/07/00,"4,31",4,"4,31",4,110,"7,75"
18/07/00,"4,31","4,31","4,31","4,31",10,0
19/07/00,"4,43","4,31","4,49","4,31",130,"2,78"
25/07/00,"4,43","4,43","4,43","4,43",0,0
28/07/00,"4,09","4,09","4,09","4,09",0,"-7,67"
31/07/00,"4,31","4,31","4,31","4,31",10,"5,38"
02/08/00,"4,12","4,12","4,12","4,12",0,"-4,41"
09/08/00,"4,12","4,12","4,12","4,12",80,0
10/08/00,"4,15","4,15","4,15","4,15",0,"0,73"
14/08/00,"4,18","4,18","4,18","4,18",0,"0,72"
17/08/00,"4,15","4,15","4,15","4,15",0,"-0,72"
18/08/00,"4,31","4,15","4,31","4,15",50,"3,86"
22/08/00,"4,15","4,31","4,31","4,15",10,"-3,71"
23/08/00,"4,15","4,15","4,15","4,15",10,0
24/08/00,"4,15","4,15","4,15","4,15",0,0
25/08/00,"4,34","4,34","4,34","4,34",0,"4,58"
28/08/00,"4,38","4,34","4,38","4,34",0,"0,92"
29/08/00,"4,38","4,4","4,4","4,38",10,0
04/09/00,"4,38","4,38","4,38","4,38",0,0
05/09/00,"4,38","4,38","4,38","4,38",10,0
06/09/00,"4,41","4,38","4,41","4,38",20,"0,68"
11/09/00,"4,6","4,6","4,6","4,6",0,"4,31"
12/09/00,"4,58","4,61","4,71","4,58",10,"-0,43"
14/09/00,"4,55","4,49","4,55","4,49",80,"-0,66"
15/09/00,"4,61","4,55","4,61","4,55",20,"1,32"
18/09/00,"4,61","4,55","4,61","4,55",120,0
19/09/00,"4,64","4,55","4,64","4,55",310,"0,65"
21/09/00,"4,64","4,61","4,64","4,61",20,0
22/09/00,"4,64","4,55","4,64","4,55",780,0
25/09/00,"4,52","4,58","4,58","4,52",20,"-2,59"
26/09/00,"4,58","4,52","4,58","4,52",830,"1,33"
27/09/00,"4,55","4,58","4,58","4,55",120,"-0,66"
28/09/00,"4,68","4,58","4,68","4,58",250,"2,86"
29/09/00,"4,8","4,68","4,83","4,68",460,"2,56"
02/10/00,"4,8","4,65","4,8","4,64",220,0
03/10/00,"4,98","4,8","5,04","4,8",1270,"3,75"
04/10/00,"5,08","5,04","5,2","5,04",420,"2,01"
05/10/00,"5,23","5,17","5,24","5,17",760,"2,95"
06/10/00,"5,29","5,23","5,29","5,23",350,"1,15"
09/10/00,"5,31","5,23","5,31","5,23",120,"0,38"
10/10/00,"5,4","5,35","5,41","5,29",220,"1,69"
11/10/00,"5,41","5,38","5,41","5,35",20,"0,19"
13/10/00,"5,32","5,32","5,32","5,32",0,"-1,66"
17/10/00,"5,38","5,17","5,38","5,08",720,"1,13"
18/10/00,"5,38","5,23","5,38","5,23",90,0
19/10/00,"5,43","5,35","5,43","5,35",410,"0,93"
